Region,Country Code,Country,Year,Indicator Code,Indicator Name,Indicator Short Name,Category,Value Type,Sum of Value,Sum of Previous Year Value,Sum of Growth Rate %,Sum of Country Share %
East Asia,CHN,China,2020,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,10627.4637989619,10342.9009524335,2.75%,7.61%
East Asia,CHN,China,2020,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,5,4.56,9.65%,6.20%
East Asia,CHN,China,2020,SP.POP.TOTL,Total Population,Population,Population,People,1411100000,1407745000,0.24%,37.62%
East Asia,CHN,China,2021,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,0.981015135544881,2.41942189457782,-59.45%,1.59%
East Asia,CHN,China,2021,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,19.5262422245091,18.2035821684822,7.27%,5.15%
East Asia,CHN,China,2021,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,7.08935251618004,7.54018198521241,-5.98%,5.76%
East Asia,CHN,China,2021,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,18201698719564,14996414166715.1,21.37%,64.99%
East Asia,CHN,China,2021,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,12887.4357242941,10627.4637989619,21.27%,7.90%
East Asia,CHN,China,2021,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.55,5,-9.00%,6.17%
East Asia,CHN,China,2021,SP.POP.TOTL,Total Population,Population,Population,People,1412360000,1411100000,0.09%,37.44%
East Asia,CHN,China,2022,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,1.9735755573905,0.981015135544881,101.18%,1.06%
East Asia,CHN,China,2022,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,20.2977316914005,19.5262422245091,3.95%,4.86%
East Asia,CHN,China,2022,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,7.14788692830171,7.08935251618004,0.83%,6.00%
East Asia,CHN,China,2022,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,18316765021690.2,18201698719564,0.63%,63.56%
East Asia,CHN,China,2022,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,12970.6056414327,12887.4357242941,0.65%,7.38%
East Asia,CHN,China,2022,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.98,4.55,9.45%,7.78%
East Asia,CHN,China,2022,SP.POP.TOTL,Total Population,Population,Population,People,1412175000,1412360000,-0.01%,37.21%
East Asia,CHN,China,2023,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,0.23483682889305,1.9735755573905,-88.10%,0.17%
East Asia,CHN,China,2023,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,19.102471716101,20.2977316914005,-5.89%,4.86%
East Asia,CHN,China,2023,NV.AGR.TOTL.ZS,Agriculture Value Added % of GDP,Agriculture % GDP,Agriculture,Percentage,6.88951941080068,7.14788692830171,-3.61%,5.82%
East Asia,CHN,China,2023,NY.GDP.MKTP.CD,GDP Current US$,GDP,Economy,US Dollars,18270356654533.2,18316765021690.2,-0.25%,62.34%
East Asia,CHN,China,2023,NY.GDP.PCAP.CD,GDP Per Capita Current US$,GDP per Capita,Economy,US Dollars,12951.1782397043,12970.6056414327,-0.15%,7.36%
East Asia,CHN,China,2023,SL.UEM.TOTL.ZS,Unemployment Total %,Unemployment,Labor,Percentage,4.67,4.98,-6.22%,8.08%
East Asia,CHN,China,2023,SP.POP.TOTL,Total Population,Population,Population,People,1410710000,1412175000,-0.10%,36.96%
East Asia,CHN,China,2024,FP.CPI.TOTL.ZG,Inflation Annual %,Inflation,Economy,Percentage,0.218128938439177,0.23483682889305,-7.11%,0.22%
East Asia,CHN,China,2024,NE.EXP.GNFS.ZS,Exports of Goods and Services % of GDP,Exports % GDP,Trade,Percentage,20.0229166362049,19.102471716101,4.82%,7.05%
